accession,secondary_accession,bioproject,study_name,body_sites,samples_count,biome_lineages,centre_name,last_update
MGYS00002356,DRP003793,PRJDB4202,Oral bacterial 16S rRNA-V4 sequencing of four Japanese adults in multiple conditions of sample storage,oral,66,root:Host-associated:Human:Digestive system:Oral:Supragingival plaque,TOHOKU,2018-04-26T09:25:07
MGYS00002353,DRP002880,PRJDB3452,"Salivary microbiota of Japanese orally healthy adults, pool 5",oral,66,root:Host-associated:Human:Digestive system:Oral:Saliva,KYUSHU,2018-04-26T08:33:32
MGYS00006350,SRP284518,PRJNA664882,Microbial alteration of lower respiratory tract from critically ill patients with community-acquired pneumonia,respiratory,66,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,National Chiao Tung University,2023-09-02T02:29:20
MGYS00006327,SRP043676,PRJNA253931,Comparison of Bacterial Communities in Bronchoalveolar Lavage between a U.S. and Malawi Population.,respiratory,65,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Indiana University Medical Center,2023-09-01T20:06:55
MGYS00006631,ERP150573,PRJEB65450,EMG produced TPA metagenomics assembly of PRJEB54966 data set (Papua New Guinean oral metagenomes).,oral,65,root:Host-associated:Human:Digestive system:Oral,EMG,2024-03-11T21:40:37
MGYS00005795,ERP128033,PRJEB44032,EMG produced TPA metagenomics assembly of PRJEB23524 data set (WGS data from FMT trial for the treatment of recurrent Clostridium difficile infection).,gut,64,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2021-10-07T09:29:26
MGYS00003346,ERP108481,PRJEB26490,EMG produced TPA metagenomics assembly of the Human fecal microbiome before and after consumption of AH1206 - Raw sequence reads (human gut metagenome) data set.,gut,63,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2018-10-25T18:57:36
MGYS00006494,SRP025173,PRJNA207555,"Human lung metagenome of 17 adult CF patients throughout the course of clinical exacerbation, treatment and recovery Targeted Locus (Loci)",respiratory,63,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Marine Biological Laboratory,2023-09-25T11:44:35
MGYS00002354,DRP002882,PRJDB3451,"Salivary microbiota of Japanese orally healthy adults, pool 4",oral,63,root:Host-associated:Human:Digestive system:Oral:Saliva,KYUSHU,2018-04-26T09:00:41
MGYS00006500,SRP132446,PRJNA433469,Respiratory mycobiome and microbiome in cystic fibrosis,respiratory,62,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,GenoScreen,2023-09-25T14:12:46
MGYS00006468,SRP095245,PRJNA357622,Anaerobic bacteria fermentation products increase tuberculosis risk in antiretroviral treated HIV-infection Sequence,respiratory,62,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,New York University School of Medicine,2023-09-11T13:33:59
MGYS00003479,ERP106673,PRJEB24818,EMG produced TPA metagenomics assembly of the Evaluating the Potential of using Next-Generation Sequencing for Direct Clinical Diagnostics of Faecal Samples from Patients with Diarrhoea () data set.,gut,62,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2018-11-16T13:55:03
MGYS00002362,SRP127972,PRJNA421952,Combined analysis of the salivary microbiome and host defence peptides predicts dental disease,oral,61,root:Host-associated:Human:Digestive system:Oral:Saliva,FISABIO,2019-11-07T16:55:34
MGYS00005594,SRP276112,PRJNA649273,Kidney stone patient microbiome,gut,61,root:Host-associated:Human:Digestive system,University of Western Ontario,2020-09-07T20:32:49
MGYS00005411,ERP116015,PRJEB33242,EMG produced TPA metagenomics assembly of the PRJEB9524 data set (Expanded Enteric Virome and Altered Bacterial Microbiome in Acquired Immunodeficiency Syndrome).,gut,61,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2020-05-22T01:37:38
MGYS00006807,ERP170897,PRJEB87702,Metagenome assembly of PRJNA1023929 data set (Fecal microbiota and metabolites in Irritable Bowel Syndrome),gut,60,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-05-14T00:24:26
MGYS00002587,ERP109049,PRJEB27013,Microbiome of supragingival plaque from healthy volunteers,oral,60,root:Host-associated:Human:Digestive system:Oral:Supragingival plaque,Unilever,2018-07-23T14:49:32
MGYS00006508,SRP171599,PRJNA507734,Gut microbiota in lung cancer patients,respiratory,60,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Harbin Medical University,2023-09-25T16:24:16
MGYS00005412,ERP010635,PRJEB9524,Expanded Enteric Virome and Altered Bacterial Microbiome in Acquired Immunodeficiency Syndrome,gut,60,root:Host-associated:Human:Digestive system:Large intestine:Fecal,WASHINGTON UNIVERSITY  SCHOOL OF MEDICINE,2020-05-22T00:51:47
MGYS00006614,ERP141818,PRJEB56856,EMG produced TPA metagenomics assembly of PRJNA470402 data set (human saliva metagenome Raw reads).,oral,60,root:Host-associated:Human:Digestive system:Oral:Saliva,EMG,2024-03-08T23:16:36
MGYS00006615,ERP141857,PRJEB56889,EMG produced TPA metagenomics assembly of PRJNA380727 data set (human saliva metagenome Raw sequence reads).,oral,60,root:Host-associated:Human:Digestive system:Oral:Saliva,EMG,2024-03-09T00:07:03
MGYS00006635,ERP151145,PRJEB66073,EMG produced TPA metagenomics assembly of PRJNA752888 data set (Longitudinal saliva bacteriome and early childhood caries).,oral,60,root:Host-associated:Human:Digestive system:Oral:Saliva,EMG,2024-03-15T15:28:50
MGYS00002431,ERP107086,PRJEB25191,EMG produced TPA metagenomics assembly of the The fecal microbiota in L-DOPA naive PD patients (PD-GER) data set.,gut,59,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2018-06-19T12:19:46
MGYS00003712,ERP019674,PRJEB17784,The fecal microbiota in L-DOPA naive PD patients,gut,59,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL,2019-01-10T13:56:10
MGYS00006290,SRP233398,PRJNA591377,"Lung microbiota of Mus musculus (C57BL/6J), Raw sequence reads",respiratory,58,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Geneva,2023-09-01T21:15:18
MGYS00006304,ERP134910,PRJEB50340,lung microbiota and hypercapnic AECOPD,respiratory,58,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,Centre de Recherche Cardio-Thoracique de Bordeaux,2023-09-01T16:54:53
MGYS00006223,SRP261866,PRJNA633107,"Modulatory Effects of Triphala and Manjistha Dietary Supplementation on Human Gut Microbiota: A Double-Blind, Randomized, Placebo-Controlled Pilot Study",gut,58,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Sanford Burnham Prebys Medical Discovery Institute,2023-07-18T11:40:03
MGYS00006325,SRP041502,PRJNA245531,Bacteria Genome sequencing,respiratory,57,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,University of Toronto,2023-09-01T19:44:54
MGYS00005086,ERP116046,PRJEB33269,EMG produced TPA metagenomics fasta_path of the Gut metagenomes of rural populations in Cameroon (PRJEB27005) data set.,gut,57,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2019-07-17T11:28:33
MGYS00005357,SRP052307,PRJNA268964,Human Gut Microbiome Metagenome,gut,57,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Oklahoma,2020-05-17T19:38:25
MGYS00006779,ERP148332,PRJEB63179,EMG produced TPA metagenomics assembly of PRJNA673918 data set (Shorgun metagenomics of T2DM human gut microbes associated with FMT).,gut,57,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-03-15T03:06:53
MGYS00002217,SRP062418,PRJNA292800,Oral Microbiome Metagenome,oral,57,root:Host-associated:Human:Digestive system:Oral,University of Oklahoma,2019-11-07T16:54:04
MGYS00006642,ERP127229,PRJEB43278,EMG produced TPA metagenomics assembly of PRJDB5315 data set (Metgenomic analysis of human saliva microbiome from healthy subjects).,oral,57,root:Host-associated:Human:Digestive system:Oral:Saliva,EMG,2024-03-28T10:54:15
MGYS00005144,ERP118185,PRJEB35170,EMG produced TPA metagenomics assembly of PRJEB20800 data set (Gut resistome modulates resilience and recovery of gut microbiota after broad-spectrum antibiotic treatment).,gut,57,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2020-05-28T19:23:56
MGYS00005693,ERP125117,PRJEB41354,EMG produced TPA metagenomics assembly of PRJEB28422 data set (The Salivary Microbiome in Health and Disease).,oral,56,root:Host-associated:Human:Digestive system:Oral:Saliva,EMG,2021-01-07T15:15:46
MGYS00000499,ERP007244,PRJEB7507,"The comparison of gut microbiota obtained from centenarian, elderly, and adults living in southwestern longevity belt in Korea",gut,56,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CLM,2016-01-20T14:12:06
MGYS00006319,SRP032759,PRJNA200702,Three clinically distinct chronic pediatric airway infections share a common core microbiota,respiratory,56,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,"Department of Pediatrics, University of Washington",2023-09-02T02:44:03
MGYS00003148,ERP110943,PRJEB28700,A comprehensive analysis of the faecal microbiome and metabolome of Strongyloides stercoralis infected volunteers from a non-endemic area,gut,56,root:Host-associated:Human:Digestive system:Large intestine:Fecal,UNIVERSITY OF CAMBRIDGE,2018-10-04T11:55:12
MGYS00001832,ERP005269,PRJEB5834,Dynamics tracheal intubation airway microbiota of ventilated patients at continuous time points via metagenomic sequencing,respiratory,56,root:Host-associated:Human:Respiratory system:Pulmonary system,DRCCM,2017-06-20T14:22:17
MGYS00005694,ERP110622,PRJEB28422,The Salivary Microbiome in Health and Disease,oral,56,root:Host-associated:Human:Digestive system:Oral:Saliva,EMBL,2021-01-03T21:32:36
MGYS00003857,ERP016748,PRJEB15057,Whole-grain wheat consumption reduces inflammation in a randomized controlled trial on overweight and obese subjects with unhealthy dietary and lifestyle behaviors: role of polyphenols bound to cereal dietary fiber,oral,56,root:Host-associated:Human:Digestive system:Oral:Saliva,UCSDMI,2019-02-25T17:43:59
MGYS00006284,ERP124751,PRJEB41028,16S rRNA lung microbiota study in mechanically ventilated patient: a pilot study,respiratory,56,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Universite Paris Diderot,2023-09-01T16:38:10
MGYS00002230,SRP067603,PRJNA306560,Human oral saliva Metagenome,oral,56,root:Host-associated:Human:Digestive system:Oral:Saliva,University of Oklahoma,2019-11-07T16:55:08
MGYS00006321,SRP039563,PRJNA238461,Human airway Targeted Locus (Loci),respiratory,56,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Colorado,2023-09-01T18:56:22
MGYS00005516,ERP022986,PRJEB20800,Gut resistome modulates resilience and recovery of gut microbiota after broad-spectrum antibiotic treatment,gut,55,root:Host-associated:Human:Digestive system:Large intestine:Fecal,BGI,2020-05-28T18:09:50
MGYS00002418,ERP106627,PRJEB24775,EMG produced TPA metagenomics assembly of the Durable coexistence of donor and recipient strains after fecal microbiota transplantation (Impact of faecal microbiota transplantation on the intestinal microbiome in metabolic syndrome patients) data set.,gut,55,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2018-06-13T14:53:06
MGYS00006822,ERP148470,PRJEB63310,EMG produced TPA metagenomics assembly of PRJEB55713 data set (Child gut microbiome).,gut,55,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-07-07T18:12:38
MGYS00006448,SRP397402,PRJNA880638,Lower respiratory tract microbiome composition and community interactions in smokers,respiratory,55,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Florida International University,2023-09-05T14:17:45
MGYS00001420,ERP013827,PRJEB12357,Impact of faecal microbiota transplantation on the intestinal microbiome in metabolic syndrome patients,gut,55,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL HEIDELBERG,2017-01-16T10:00:36
MGYS00006436,SRP067346,PRJNA305886,Experimental sepsis and the lung microbiome at 24 hours,respiratory,54,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,mothur,2023-09-05T11:35:02
MGYS00006017,SRP330744,PRJNA750902,The salivary microbiome of COVID-19 inpatients and outpatients,oral,53,root:Host-associated:Human:Digestive system:Oral:Saliva,Humanitas Research Hospital,2022-05-13T17:22:15
MGYS00002480,ERP106326,PRJEB24497,Association of metformin administration with gut microbiome dysbiosis in healthy volunteers,gut,53,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Latvian Biomedical Research and Study Centre,2018-07-02T15:00:37
MGYS00002334,ERP106364,PRJEB24534,EMG produced TPA metagenomics assembly of the Metagenomes from human infant fecal samples with and without necrotizing enterocolitis (human gut metagenome) data set.,gut,52,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2020-05-17T18:55:27
MGYS00006439,SRP069223,PRJNA290694,Taxonomic signatures of Cystic Fibrosis airway microbiota,respiratory,52,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,University of Florence,2023-09-05T13:23:20
MGYS00002350,DRP002428,PRJDB2879,Salivary microbiota of orally healthy adults in South Korea,oral,52,root:Host-associated:Human:Digestive system:Oral:Saliva,KYUSHU,2018-04-26T08:20:07
MGYS00006358,SRP298878,PRJNA687143,Lung bacterial microbiome of critical COVID-19,respiratory,52,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Wellmicro srl,2023-09-02T05:05:23
MGYS00002061,ERP104235,PRJEB22554,EMG produced TPA metagenomics assembly of the Increased intestinal microbial diversity following fecal microbiota transplant for active Crohn''s disease (human gut metagenome) data set,gut,52,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2024-05-13T20:09:07
MGYS00005350,SRP075633,PRJNA321058,Increased intestinal microbial diversity following fecal microbiota transplant for active Crohn''s disease,gut,52,root:Host-associated:Human:Digestive system:Large intestine:Fecal,The Broad Institute,2020-05-17T13:06:40
MGYS00006279,ERP134414,PRJEB49871,A multiomics study on the effects of TRIKAFTA on CF patients,respiratory,51,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,UCSDMI,2023-08-05T21:13:35
MGYS00002351,DRP002429,PRJDB2878,"Salivary microbiota of Japanese orally healthy adults, pool 3",oral,51,root:Host-associated:Human:Digestive system:Oral:Saliva,KYUSHU,2018-04-26T08:22:34
MGYS00006509,SRP173779,PRJNA510549,16S rRNA gene sequencing of the pulmonary microbiota in sarcoidosis,respiratory,51,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Chair for Clinical Bioinformatics,2023-09-25T16:54:29
MGYS00006335,SRP228286,PRJNA586768,Mycobiome characterization in Lung Cancer,oral,50,root:Host-associated:Human:Digestive system:Oral:Saliva,Instituto Ramon y Cajal de Investigacion Sanitaria,2023-09-01T21:01:35
MGYS00006346,SRP272470,PRJNA647170,Lung microbiome of non-small cell lung cancer,respiratory,50,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Institute for Cellular and Intracellular Symbiosis,2023-09-02T01:12:53
MGYS00006246,ERP149135,PRJEB63986,Similarity and competitive microbiomes,respiratory,50,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung|root:Host-associated:Human:Skin,Universidad Islas Baleares,2024-01-08T16:03:48
MGYS00002273,SRP077498,PRJNA326888,human oral metagenome Raw sequence reads,oral,50,root:Host-associated:Human:Digestive system:Oral,Medical University of Graz,2019-11-07T16:54:49
MGYS00006219,ERP137776,PRJEB53018,Healthy Finnish controls,gut,50,root:Host-associated:Human:Digestive system:Large intestine:Fecal,UNIVERSITY OF HELSINKI,2023-06-12T15:33:39
MGYS00006330,SRP057949,PRJNA281788,Endotracheal tube bilfilm Targeted Locus (Loci),respiratory,50,root:Host-associated:Human:Respiratory system:Pulmonary system:Trachea,CHCMU,2023-09-01T20:27:18
MGYS00001647,DRP001277,PRJDB2036,The prebiotic fructooligosaccharide modulates metabolic dynamics and IgA production in the human gut ecosystem,gut,49,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Laboratory for Intestinal Ecosystem,2019-11-07T16:53:20
MGYS00006413,SRP326134,PRJNA742164,Lung fungal microbiome of critical COVID-19 patients,respiratory,49,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Wellmicro srl,2023-09-03T11:52:07
MGYS00002177,SRP115612,PRJNA396275,Association between oral and gut microbiota in Periodontal Disease,gut,49,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Massachusetts Institute of Technology,2019-11-07T16:53:22
MGYS00006648,ERP156480,PRJEB71693,Charachterization of skin microbiome in 16 individuals affected by Epidermolysis bullosa,skin,49,root:Host-associated:Human:Skin,UoB EBU,2025-05-29T13:37:54
MGYS00001648,DRP003095,PRJDB3864,lungbiome: Microbiome and cytokine signatures of bacterial pneumonia and tracheobronchitis,respiratory,49,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,J. Craig Venter Institute,2023-09-27T12:41:43
MGYS00006331,SRP060025,PRJNA288589,Human cystic fibrosis lung,respiratory,48,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Marine Biological Laboratory,2023-09-01T20:41:42
MGYS00006636,ERP150575,PRJEB65452,EMG produced TPA metagenomics assembly of PRJNA932553 data set (Oral microbiome in periodontitis).,oral,48,root:Host-associated:Human:Digestive system:Oral,EMG,2024-03-15T20:36:54
MGYS00006394,SRP347299,PRJNA782662,Intestinal Akkermansia muciniphila predicts clinical response to PD-1 blockade in advanced non-small cell lung cancer patients.,gut,47,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Trieste,2023-09-03T01:59:37
MGYS00005423,ERP115473,PRJEB32759,EMG produced TPA metagenomics assembly of the PRJNA413474 data set (MTR skin microbiome).,skin,47,root:Host-associated:Human:Skin,EMG,2020-05-22T08:27:53
MGYS00006221,ERP122530,PRJEB39062,Impact of a moderate caloric restriction on the gut microbiota composition and diversity of Italian obese patients,gut,46,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Cagliari,2023-06-12T20:56:20
MGYS00006323,SRP040968,PRJNA243349,The effects of freeze thaw cycles on the microbial community present in sputum samples from the CF lung,respiratory,46,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,CEH,2023-09-01T19:19:16
MGYS00006526,SRP214694,PRJNA554461,Metagenomic Identification of Severe Pneumonia Pathogens in Mechanically-Ventilated Patients,respiratory,46,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,University of Pittsburgh,2023-09-25T23:17:38
MGYS00006397,SRP354258,PRJNA795334,BALF microbial diversity of bronchiectasis patients,respiratory,46,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,The First Affiliated Hospital of Shandong First Medical Universtiy,2023-09-03T02:24:49
MGYS00006458,SRP015882,PRJNA172839,Human pulmonary secretions and tissue Targeted Locus (Loci),respiratory,46,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Stanford University,2023-09-11T12:00:29
MGYS00005424,SRP119528,PRJNA413474,MTR skin microbiome,skin,46,root:Host-associated:Human:Skin,The University of Hong Kong,2020-05-22T02:22:31
MGYS00002259,SRP042281,PRJNA247490,Human saliva microbiota Targeted Locus (Loci),oral,45,root:Host-associated:Human:Digestive system:Oral:Saliva,University of Naples Federico II,2019-11-07T16:55:16
MGYS00006012,DRP008009,PRJDB12349,microbiome analysis for patietns with COVID-19,gut,45,root:Host-associated:Human:Digestive system:Large intestine:Fecal,"Division of Infectious Diseases, Advanced Clinical Research Center, Institute of medical science, The University of Tokyo",2022-04-29T15:28:44
MGYS00002358,DRP003845,PRJDB4192,Core function of microbiota in peri-implantitis and periodontitis,oral,44,root:Host-associated:Human:Digestive system:Oral:Subgingival plaque,KYOTO_GM,2018-04-26T09:53:43
MGYS00006628,ERP138504,PRJEB53689,EMG produced TPA metagenomics assembly of PRJEB51898 data set (Vaginal metagenome dataset of 47 healthy women).,urogenital,44,root:Host-associated:Human:Reproductive system:Vagina,EMG,2024-03-09T11:25:33
MGYS00002232,SRP103050,PRJNA380711,human oral metagenome,oral,44,root:Host-associated:Human:Digestive system:Oral,"Affiliated Hospital of Stomatology, College of Medicine, Zhejiang University",2019-11-07T16:54:21
MGYS00000350,ERP001956,PRJEB1775,Diagnostic Metagenomics: A Culture-Independent Approach to the Investigation of Bacterial Infections,gut,44,root:Host-associated:Human:Digestive system:Large intestine:Fecal,UB,2016-01-20T14:12:06
MGYS00006619,ERP141706,PRJEB56742,EMG produced TPA metagenomics assembly of PRJNA757683 data set (Apical Periodontitis).,oral,43,root:Host-associated:Human:Digestive system:Oral:Saliva,EMG,2024-03-09T00:47:09
MGYS00001071,SRP055567,PRJNA276631,"16S rRNA profiling of ""Allergy"" and ""Healthy"" human faecal samples",gut,43,root:Host-associated:Human:Digestive system:Large intestine:Fecal,University of Parma,2019-11-07T16:52:47
MGYS00002209,DRP002300,PRJDB2355,Identification of salivary microbiota associated with oral malodor using 16S pyrosequencing,oral,43,root:Host-associated:Human:Digestive system:Oral:Saliva,"Section of Preventive and Public Health Dentistry, Kyushu University Faculty of Dental Science",2019-11-07T16:55:04
MGYS00006422,SRP413524,PRJNA912734,Homo sapiens Raw sequence reads,respiratory,42,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,"Fondazione Policlinico Universitario Gemelli, IRCCS",2023-09-03T13:17:09
MGYS00006121,ERP142200,PRJEB57228,Dietary intervention of people with Parkinson's disease,gut,42,root:Host-associated:Human:Digestive system:Large intestine:Fecal,Quadram Institute Bioscience,2024-01-04T11:33:48
MGYS00001302,SRP029257,PRJNA216965,Dental Calculus Metagenome (archaeological),oral,41,root:Host-associated:Human:Digestive system:Oral,University of Oklahoma,2019-11-07T16:53:39
MGYS00000465,ERP008951,PRJEB7949,The fecal microbiome was studied in a group of IBD suffers and compared to a control group's fecal microbiome,gut,40,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CUSB-HM,2016-01-20T14:12:06
MGYS00002237,SRP093358,PRJNA352375,Species within oral squamous cell carcinoma and control tissues -  Metagenome,oral,40,root:Host-associated:Human:Digestive system:Oral,Temple University,2019-11-07T16:54:27
MGYS00001863,ERP023694,PRJEB21446,Metatranscriptome reveals the function shifts of the vaginal microbiome during the treatment of bacterial vaginosis,urogenital,40,root:Host-associated:Human:Reproductive system:Vagina,HELMHOLTZ CENTRE FOR INFECTION RESEARCH,2017-07-03T09:05:11
MGYS00001099,ERP009053,PRJEB8022,The Effect of Probiotics with Antibiotics on Gut Microbiota during the Helicobacter Eradication: Randomized Controlled Trial,gut,40,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CLM,2016-06-20T11:09:57
MGYS00006824,ERP147941,PRJEB62821,"EMG produced TPA metagenomics assembly of PRJEB52094 data set (In this study, we performed shotgun metagenomics sequencing on fecal DNA collected from 16 control subjects and 24 hemodialysis patients.).",gut,40,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2025-07-07T23:05:46
MGYS00005425,ERP114883,PRJEB32232,EMG produced TPA metagenomics assembly of the PRJNA392180 data set (Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania).,gut,40,root:Host-associated:Human:Digestive system:Large intestine,EMG,2020-05-22T08:36:05
MGYS00001901,ERP024243,PRJEB21933,16S data - Multi-omics Differentially Classify Disease State and Treatment Outcome in Pediatric Crohn's Disease,gut,40,root:Host-associated:Human:Digestive system:Large intestine:Fecal,DALHOUSIE UNIVERSITY,2017-07-27T09:36:22
MGYS00002272,SRP073270,PRJNA292354,healthy and stomatitis denture microbiome,oral,40,root:Host-associated:Human:Digestive system:Oral:Subgingival plaque,UCLA School of Dentistry,2019-11-07T16:55:50
MGYS00002266,SRP051689,PRJNA271580,Development and pyrosequencing analysis of an in-vitro oral biofilm model,oral,39,root:Host-associated:Human:Digestive system:Oral,Queen Mary University of London,2019-11-07T16:54:41
MGYS00006332,SRP064237,PRJNA296567,human lung microbial metagenome,respiratory,39,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Helmholtz Center Munich,2023-09-01T20:48:36
MGYS00005426,SRP110665,PRJNA392180,Seasonal Cycling in the Gut Microbiome of the Hadza Hunter-Gatherers of Tanzania,gut,39,root:Host-associated:Human:Digestive system:Large intestine,Stanford University,2020-05-22T02:23:16
MGYS00000943,ERP008707,PRJEB7756,Characterization of the vaginal microbiome in women with cervical intraepithelial neoplasia,urogenital,39,root:Host-associated:Human:Reproductive system:Vagina,CUSB-HM,2016-05-16T13:35:45
MGYS00002246,SRP020623,PRJNA196250,Transplantation-associated long-term immunosuppression promotes oral colonization by potentially opportunistic pathogens without impacting other members of the salivary bacteriome,oral,39,root:Host-associated:Human:Digestive system:Oral:Saliva,University of Connecticut,2019-11-07T16:55:12
MGYS00006507,SRP168445,PRJNA504944,Airway bacteria and P. aeruginosa pathogens under antibiotic therapy,respiratory,38,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,"CAU Kiel, Zoological Institute",2023-09-25T16:06:40
MGYS00002263,SRP047369,PRJNA261560,Saliva of human Targeted Locus (Loci),oral,38,root:Host-associated:Human:Digestive system:Oral,Northwest University for Nationalities,2019-11-07T16:54:38
MGYS00000307,ERP001706,PRJEB3206,Crohn's Disease viral and microbial metagenome,gut,38,root:Host-associated:Human:Digestive system:Large intestine:Fecal,CSISP,2016-01-20T14:12:06
MGYS00002419,ERP106644,PRJEB24791,EMG produced TPA metagenomics assembly of the Microbiome study of the RISK cohort (human gut metagenome) data set.,gut,38,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMBL-EBI,2018-06-14T08:50:55
MGYS00006438,SRP068430,PRJNA308759,The bronchial epithelial cell bacterial microbiome and host response in patients infected with human immunodeficiency virus,respiratory,38,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,mothur,2023-09-05T13:17:35
MGYS00006369,SRP057611,PRJNA282010,"Community dynamics and the lower airway microbiota in stable chronic obstructive pulmonary disease, smokers and healthy non-smokers",respiratory,38,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,Queen's University Belfast,2023-09-02T21:03:43
MGYS00002060,ERP104233,PRJEB22552,EMG produced TPA metagenomics assembly of the Human Gut Microbiome Metagenome (human gut metagenome) data set,gut,37,root:Host-associated:Human:Digestive system:Large intestine:Fecal,EMG,2017-11-24T16:47:08
MGYS00002352,DRP002430,PRJDB2877,"Salivary microbiota of Japanese orally healthy adults, pools 1 and 2",oral,37,root:Host-associated:Human:Digestive system:Oral:Saliva,KYUSHU,2018-04-26T08:29:51
MGYS00006324,SRP041296,PRJNA244556,Human airway Targeted Locus (Loci),respiratory,37,root:Host-associated:Human:Respiratory system:Pulmonary system:Sputum,University of Colorado,2023-09-01T19:29:36
MGYS00002165,SRP078943,PRJNA330533,Liyan_caries_2011,oral,37,root:Host-associated:Human:Digestive system:Oral,Univeristy of Oklahoma,2019-11-07T16:53:50
MGYS00006353,SRP287511,PRJNA669372,Gut and lung microbiota in RSV-infected mice and streptomycin-treatment mice,gut,37,root:Host-associated:Human:Digestive system:Large intestine:Fecal,China Medical University,2023-09-02T03:22:37
MGYS00006020,SRP341631,PRJNA726994,Upper respiratory microbiome during severe SARS-CoV-2 infection,respiratory,37,root:Host-associated:Human:Respiratory system:Nasopharyngeal,Vanderbilt University Medical Center,2022-05-23T16:33:48
MGYS00006516,SRP199424,PRJNA544655,Nasal sinuses and lung microbiome in cystic fibrosis patients.,respiratory,36,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,N.F.Gamaleya National Research Center for Epidemiology and Microbiology,2023-09-25T18:44:06
MGYS00006277,ERP133037,PRJEB48645,Lung microbiota but not mycobiota predicts day 28 mortality in critically ill influenza patients: a feasibility study,respiratory,36,root:Host-associated:Human:Respiratory system:Pulmonary system:Lung,CHU,2023-08-05T07:48:50
MGYS00005697,ERP126158,PRJEB42319,EMG produced TPA metagenomics assembly of PRJDB4115 data set (Metgenomic analysis of human saliva microbiome from healthy subjects).,oral,36,root:Host-associated:Human:Digestive system:Oral:Saliva,EMG,2021-01-19T00:20:47
